Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
North Park University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2014-01-01 to 2014-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-2014,Feb-2014,Mar-2014,Apr-2014,May-2014,Jun-2014,Jul-2014,Aug-2014,Sep-2014,Oct-2014,Nov-2014,Dec-2014
Total for all journals,,,,,,,6079,3658,2421,646,1564,684,374,200,361,171,111,839,674,283,172
AACN Advanced Critical Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1559-7768,1559-7776,109,60,49,21,47,3,1,4,9,1,0,12,11,0,0
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1079-0713,1559-7776,11,9,2,0,3,0,3,0,0,0,0,5,0,0,0
ACSM'S Health & Fitness Journal,Lippincott Williams & Wilkins (LWW),OvidSP,,,1091-5397,1536-593X,47,31,16,1,1,3,1,7,19,7,0,1,0,2,5
Advanced Emergency Nursing Journal,Lippincott Williams & Wilkins (LWW),OvidSP,,,1931-4485,N/A,74,48,26,0,26,7,2,2,2,0,0,8,21,4,2
Advances in Neonatal Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1536-0903,1536-0911,135,92,43,7,66,5,3,2,0,10,0,12,27,2,1
Advances in Nursing Science,Lippincott Williams & Wilkins (LWW),OvidSP,,,0161-9268,N/A,70,36,34,10,17,15,7,1,1,1,3,6,3,6,0
Advances in Skin & Wound Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1527-7941,N/A,43,25,18,4,15,15,0,7,0,2,0,0,0,0,0
"AJN, American Journal of Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,0002-936X,N/A,475,294,181,39,114,40,50,27,23,4,12,56,68,33,9
Biomedical Safety & Standards,Lippincott Williams & Wilkins (LWW),OvidSP,,,1080-9775,1550-2430,5,1,4,2,2,1,0,0,0,0,0,0,0,0,0
Cancer Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0162-220X,1538-9804,45,24,21,0,18,12,7,0,2,0,0,5,0,0,1
"CIN: Computers, Informatics, Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,1538-2931,1538-9774,70,41,29,6,14,15,10,1,1,0,2,8,13,0,0
Clinical Journal of Sport Medicine,Lippincott Williams & Wilkins (LWW),OvidSP,,,1050-642X,1536-3724,23,16,7,1,8,0,3,0,0,0,0,8,1,0,2
Clinical Nurse Specialist,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-6274,1538-9782,133,82,51,21,27,24,4,3,9,2,0,25,11,6,1
Computers in Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0736-8593,1538-9774,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0
Critical Care Nursing Quarterly,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-9303,1550-5111,150,99,51,16,45,12,12,5,11,0,5,27,9,6,2
Current Opinion in Clinical Nutrition & Metabolic Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1363-1950,1473-6519,25,13,12,2,4,4,0,0,4,0,0,2,3,2,4
Dimensions of Critical Care Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0730-4625,1538-8646,113,76,37,7,44,9,2,0,3,3,0,21,22,2,0
Family & Community Health,Lippincott Williams & Wilkins (LWW),OvidSP,,,0160-6379,1550-5057,75,42,33,2,10,12,20,0,11,1,0,3,15,0,1
