Database,Publisher,Platform,Notes,2013,2014,2015,2016,2017
Academic OneFile,EBSCO,EBSCOhost,,NA,,,NA,NA
Academic Search Complete,EBSCO,EBSCOhost,Subsidized through CARLI,,,,,
Academic Search Premier,EBSCO,EBSCOhost,Subsidized through CARLI,,,NA,NA,NA
AccessAnesthesiology,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessEmergency Medicine,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessEngineering,EBSCO,EBSCOhost,,NA,,,NA,NA
Accessible Archives,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessMedicine,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessPediatrics,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessPharmacy,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessScience,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessSurgery,EBSCO,EBSCOhost,,NA,,,NA,NA
ACLS Humanities E-Book,EBSCO,EBSCOhost,,NA,,,,
Adam Matthew Digital,EBSCO,EBSCOhost,,NA,,,NA,NA
African American Music Reference,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
AGRIS,EBSCO,EBSCOhost,,NA,,,NA,NA
AHFS Consumer Medication Information,EBSCO,EBSCOhost,,,,,,
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,EBSCOhost,,NA,,,NA,NA
Alexander Street Press,EBSCO,EBSCOhost,,NA,,,,
American Doctoral Dissertations,EBSCO,EBSCOhost,,NA,NA,,,
"American Doctoral Dissertations, 1933 - 1955",EBSCO,EBSCOhost,,NA,,NA,NA,NA
American National Biography Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Anatomy & Physiology Online,Primal Pictures,OvidSP,,NA,,,,NA
Aphasiology Archive,EBSCO,EBSCOhost,,NA,,,NA,NA
Archive of European Integration,EBSCO,EBSCOhost,,NA,,,NA,NA
arXiv,EBSCO,EBSCOhost,,NA,,,,
ATLA Religion Database with ATLASerials,EBSCO,EBSCOhost,,,,,,
"ATLASerials, Religion Collection",EBSCO,EBSCOhost,,,,,,
Audiobook Collection (EBSCOhost),EBSCO,EBSCOhost,,,,,,
BiblioBoard,EBSCO,EBSCOhost,,NA,,,NA,NA
Bibliotheksverbund Bayern,EBSCO,EBSCOhost,,NA,,,NA,NA
BioOne Online Journals,EBSCO,EBSCOhost,,NA,,,,
Books at JSTOR,EBSCO,EBSCOhost,,NA,,,NA,NA
Books24x7,EBSCO,EBSCOhost,,NA,,,NA,NA
Brandel Books,EBSCO,EBSCOhost,,NA,,,,
Brandel Media,EBSCO,EBSCOhost,,NA,,,,
Bridgeman Education,EBSCO,EBSCOhost,,NA,,,NA,NA
Britannica Online,EBSCO,EBSCOhost,,NA,,,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,EBSCOhost,,NA,,,NA,NA
British Library EThOS,EBSCO,EBSCOhost,,NA,,,NA,NA
British Standards Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Business Insights: Essentials,EBSCO,EBSCOhost,,NA,,,NA,NA
Business Source Complete,EBSCO,EBSCOhost,,,," $15,046.72 "," $15,648.59 "," $16,274.53 "
Business Source Elite,EBSCO,EBSCOhost,,,,,,
Cairn.info,EBSCO,EBSCOhost,,NA,,,NA,NA
Center for Research Libraries,EBSCO,EBSCOhost,,NA,,,NA,NA
China Science & Technology Journal Database,EBSCO,EBSCOhost,,NA,,,NA,NA
China/Asia On Demand,EBSCO,EBSCOhost,,NA,,,NA,NA
Christian Periodical Index,EBSCO,EBSCOhost,,,,,,
CINAHL,EBSCO,EBSCOhost,,,,NA,NA,NA
CINAHL Complete,EBSCO,EBSCOhost,,,,," $7,616.01 "," $7,920.65 "
Classical Music Reference Library,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Cochrane Central Register of Controlled Trials,EBSCO,EBSCOhost,,,,,,
Cochrane Database of Systematic Reviews,EBSCO,EBSCOhost,,,," $3,587.96 "," $3,803.24 "," $4,031.43 "
Cochrane Methodology Register,EBSCO,EBSCOhost,,,,,,
CogPrints,EBSCO,EBSCOhost,,NA,,,,
Communication & Mass Media Complete,EBSCO,EBSCOhost,,,," $4,434.93 "," $4,612.33 "," $4,796.82 "
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,EBSCOhost,,NA,NA,NA,,
Consumer Health Complete,EBSCO,EBSCOhost,,,,,,
Consumer Health Complete - EBSCOhost,EBSCO,EBSCOhost,,,,,,
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Credo Reference Collections,EBSCO,EBSCOhost,,NA,,,NA,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
CRUSH Reports,EBSCO,EBSCOhost,,NA,,,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,EBSCOhost,,NA,,,NA,NA
