Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Университетская библиотека онлайн - University Library Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Academic OneFile,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Academic Search Complete,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Academic Search Premier,EBSCO,EBSCOhost,,,,Fiscal Year,,,NA,NA,NA
AccessAnesthesiology,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessEmergency Medicine,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessEngineering,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Accessible Archives,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessMedicine,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessPediatrics,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessPharmacy,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessScience,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AccessSurgery,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
ACLS Humanities E-Book,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Adam Matthew Digital,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
African American Music Reference,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
AGRIS,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
AHFS Consumer Medication Information,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Alexander Street Press,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
