Database,Publisher,User_Activity,2013,2014,2015,2016,2017
Университетская библиотека онлайн - University Library Online,EBSCO,Record Views,NA,0,0,NA,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Record Views,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Regular Searches,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Result Clicks,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Searches-federated and automated,NA,80,71,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Record Views,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Regular Searches,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Result Clicks,NA,0,0,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Academic OneFile,EBSCO,Record Views,NA,0,2,NA,NA
Academic OneFile,EBSCO,Regular Searches,NA,0,0,NA,NA
Academic OneFile,EBSCO,Result Clicks,NA,9,5,NA,NA
Academic OneFile,EBSCO,Searches-federated and automated,NA,81,71,NA,NA
Academic Search Complete,EBSCO,Record Views,0,25299,40644,35817,8841
Academic Search Complete,EBSCO,Regular Searches,0,37881,51885,42918,10738
Academic Search Complete,EBSCO,Result Clicks,0,45989,74252,64164,15859
Academic Search Complete,EBSCO,Searches-federated and automated,0,80,29065,54008,15880
Academic Search Premier,EBSCO,Record Views,14687,20187,NA,NA,NA
Academic Search Premier,EBSCO,Regular Searches,21735,27461,NA,NA,NA
Academic Search Premier,EBSCO,Result Clicks,27169,37530,NA,NA,NA
Academic Search Premier,EBSCO,Searches-federated and automated,39,3,NA,NA,NA
AccessAnesthesiology,EBSCO,Record Views,NA,0,0,NA,NA
AccessAnesthesiology,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessAnesthesiology,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessAnesthesiology,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessEmergency Medicine,EBSCO,Record Views,NA,0,0,NA,NA
AccessEmergency Medicine,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessEmergency Medicine,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessEmergency Medicine,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessEngineering,EBSCO,Record Views,NA,0,0,NA,NA
AccessEngineering,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessEngineering,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessEngineering,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Accessible Archives,EBSCO,Record Views,NA,0,0,NA,NA
Accessible Archives,EBSCO,Regular Searches,NA,0,0,NA,NA
Accessible Archives,EBSCO,Result Clicks,NA,0,0,NA,NA
Accessible Archives,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessMedicine,EBSCO,Record Views,NA,0,0,NA,NA
