Database,Publisher,User_Activity,FY 2014,FY 2015,FY 2016,FY 2017
Университетская библиотека онлайн - University Library Online,EBSCO,Record Views,NA,0,0,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Regular Searches,NA,0,0,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Result Clicks,NA,0,0,NA
Университетская библиотека онлайн - University Library Online,EBSCO,Searches-federated and automated,NA,149,0,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Record Views,NA,0,0,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Regular Searches,NA,0,0,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Result Clicks,NA,0,0,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,Searches-federated and automated,NA,151,0,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Record Views,NA,0,0,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Regular Searches,NA,0,0,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Result Clicks,NA,0,0,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,Searches-federated and automated,NA,151,0,NA
Academic OneFile,EBSCO,Record Views,NA,2,0,NA
Academic OneFile,EBSCO,Regular Searches,NA,0,0,NA
Academic OneFile,EBSCO,Result Clicks,NA,14,0,NA
Academic OneFile,EBSCO,Searches-federated and automated,NA,152,0,NA
Academic Search Complete,EBSCO,Record Views,19,49779,32590,28213
Academic Search Complete,EBSCO,Regular Searches,72,72130,36808,34412
Academic Search Complete,EBSCO,Result Clicks,41,91794,58146,50283
Academic Search Complete,EBSCO,Searches-federated and automated,0,4299,50896,43838
Academic Search Premier,EBSCO,Record Views,34598,276,NA,NA
Academic Search Premier,EBSCO,Regular Searches,48292,904,NA,NA
Academic Search Premier,EBSCO,Result Clicks,64222,477,NA,NA
Academic Search Premier,EBSCO,Searches-federated and automated,42,0,NA,NA
AccessAnesthesiology,EBSCO,Record Views,NA,0,0,NA
AccessAnesthesiology,EBSCO,Regular Searches,NA,0,0,NA
AccessAnesthesiology,EBSCO,Result Clicks,NA,0,0,NA
AccessAnesthesiology,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessEmergency Medicine,EBSCO,Record Views,NA,0,0,NA
AccessEmergency Medicine,EBSCO,Regular Searches,NA,0,0,NA
AccessEmergency Medicine,EBSCO,Result Clicks,NA,0,0,NA
AccessEmergency Medicine,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessEngineering,EBSCO,Record Views,NA,0,0,NA
AccessEngineering,EBSCO,Regular Searches,NA,0,0,NA
AccessEngineering,EBSCO,Result Clicks,NA,0,0,NA
AccessEngineering,EBSCO,Searches-federated and automated,NA,149,0,NA
Accessible Archives,EBSCO,Record Views,NA,0,0,NA
Accessible Archives,EBSCO,Regular Searches,NA,0,0,NA
Accessible Archives,EBSCO,Result Clicks,NA,0,0,NA
Accessible Archives,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessMedicine,EBSCO,Record Views,NA,0,0,NA
AccessMedicine,EBSCO,Regular Searches,NA,0,0,NA
AccessMedicine,EBSCO,Result Clicks,NA,0,0,NA
AccessMedicine,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessPediatrics,EBSCO,Record Views,NA,0,0,NA
AccessPediatrics,EBSCO,Regular Searches,NA,0,0,NA
AccessPediatrics,EBSCO,Result Clicks,NA,0,0,NA
AccessPediatrics,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessPharmacy,EBSCO,Record Views,NA,0,0,NA
AccessPharmacy,EBSCO,Regular Searches,NA,0,0,NA
AccessPharmacy,EBSCO,Result Clicks,NA,0,0,NA
AccessPharmacy,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessScience,EBSCO,Record Views,NA,0,0,NA
AccessScience,EBSCO,Regular Searches,NA,0,0,NA
AccessScience,EBSCO,Result Clicks,NA,0,0,NA
AccessScience,EBSCO,Searches-federated and automated,NA,149,0,NA
AccessSurgery,EBSCO,Record Views,NA,0,0,NA
AccessSurgery,EBSCO,Regular Searches,NA,0,0,NA
AccessSurgery,EBSCO,Result Clicks,NA,0,0,NA
AccessSurgery,EBSCO,Searches-federated and automated,NA,149,0,NA
ACLS Humanities E-Book,EBSCO,Record Views,NA,0,6,6
ACLS Humanities E-Book,EBSCO,Regular Searches,NA,0,0,0
ACLS Humanities E-Book,EBSCO,Result Clicks,NA,3,9,11
ACLS Humanities E-Book,EBSCO,Searches-federated and automated,NA,1903,6120,5249
Adam Matthew Digital,EBSCO,Record Views,NA,0,0,NA
Adam Matthew Digital,EBSCO,Regular Searches,NA,0,0,NA
Adam Matthew Digital,EBSCO,Result Clicks,NA,0,0,NA
Adam Matthew Digital,EBSCO,Searches-federated and automated,NA,151,0,NA
African American Music Reference,Alexander Street Press,Record Views,0,2,7,24
African American Music Reference,Alexander Street Press,Regular Searches,0,26,100,44
African American Music Reference,Alexander Street Press,Result Clicks,0,2,5,5
African American Music Reference,Alexander Street Press,Searches-federated and automated,0,0,0,0
AGRIS,EBSCO,Record Views,NA,0,0,NA
AGRIS,EBSCO,Regular Searches,NA,0,0,NA
AGRIS,EBSCO,Result Clicks,NA,0,0,NA
AGRIS,EBSCO,Searches-federated and automated,NA,151,0,NA
AHFS Consumer Medication Information,EBSCO,Record Views,0,0,19,17
AHFS Consumer Medication Information,EBSCO,Regular Searches,2070,2885,2323,1269
AHFS Consumer Medication Information,EBSCO,Result Clicks,0,0,19,17
AHFS Consumer Medication Information,EBSCO,Searches-federated and automated,42,0,4,0
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Record Views,NA,0,0,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Regular Searches,NA,0,0,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Result Clicks,NA,0,0,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Searches-federated and automated,NA,151,0,NA
Alexander Street Press,EBSCO,Record Views,NA,8,16,47
Alexander Street Press,EBSCO,Regular Searches,NA,0,0,0
Alexander Street Press,EBSCO,Result Clicks,NA,19,24,63
Alexander Street Press,EBSCO,Searches-federated and automated,NA,1915,6065,5210
American Doctoral Dissertations,EBSCO,Record Views,NA,2,5,0
American Doctoral Dissertations,EBSCO,Regular Searches,NA,1716,2239,1206
American Doctoral Dissertations,EBSCO,Result Clicks,NA,5,11,0
American Doctoral Dissertations,EBSCO,Searches-federated and automated,NA,1750,6063,5201
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Record Views,NA,7,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Regular Searches,NA,572,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Result Clicks,NA,11,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Searches-federated and automated,NA,0,NA,NA
American National Biography Online,EBSCO,Record Views,NA,0,0,NA
American National Biography Online,EBSCO,Regular Searches,NA,0,0,NA
American National Biography Online,EBSCO,Result Clicks,NA,0,0,NA
American National Biography Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Anatomy & Physiology Online,Primal Pictures,Record Views,0,0,0,0
Anatomy & Physiology Online,Primal Pictures,Regular Searches,0,0,0,0
Anatomy & Physiology Online,Primal Pictures,Result Clicks,0,0,0,0
Anatomy & Physiology Online,Primal Pictures,Searches-federated and automated,0,0,0,0
Aphasiology Archive,EBSCO,Record Views,NA,0,0,NA
Aphasiology Archive,EBSCO,Regular Searches,NA,0,0,NA
Aphasiology Archive,EBSCO,Result Clicks,NA,0,0,NA
Aphasiology Archive,EBSCO,Searches-federated and automated,NA,149,0,NA
Archive of European Integration,EBSCO,Record Views,NA,0,0,NA
Archive of European Integration,EBSCO,Regular Searches,NA,0,0,NA
Archive of European Integration,EBSCO,Result Clicks,NA,0,0,NA
Archive of European Integration,EBSCO,Searches-federated and automated,NA,149,0,NA
arXiv,EBSCO,Record Views,NA,0,2,3
arXiv,EBSCO,Regular Searches,NA,0,0,0
arXiv,EBSCO,Result Clicks,NA,0,2,8
arXiv,EBSCO,Searches-federated and automated,NA,1900,6058,5196
ATLA Religion Database with ATLASerials,EBSCO,Record Views,15712,8918,11292,8135
ATLA Religion Database with ATLASerials,EBSCO,Regular Searches,25345,16526,15160,10208
ATLA Religion Database with ATLASerials,EBSCO,Result Clicks,30764,18072,22167,16023
ATLA Religion Database with ATLASerials,EBSCO,Searches-federated and automated,43,4244,50271,43409
"ATLASerials, Religion Collection",EBSCO,Record Views,1733,1143,1361,1198
"ATLASerials, Religion Collection",EBSCO,Regular Searches,3042,4343,3948,2762
"ATLASerials, Religion Collection",EBSCO,Result Clicks,4293,2861,2658,2665
"ATLASerials, Religion Collection",EBSCO,Searches-federated and automated,44,1909,6147,5273
Audiobook Collection (EBSCOhost),EBSCO,Record Views,0,0,0,0
Audiobook Collection (EBSCOhost),EBSCO,Regular Searches,497,3014,2416,1302
Audiobook Collection (EBSCOhost),EBSCO,Result Clicks,0,0,0,0
Audiobook Collection (EBSCOhost),EBSCO,Searches-federated and automated,0,1899,6062,5200
BiblioBoard,EBSCO,Record Views,NA,0,0,NA
BiblioBoard,EBSCO,Regular Searches,NA,0,0,NA
BiblioBoard,EBSCO,Result Clicks,NA,0,0,NA
BiblioBoard,EBSCO,Searches-federated and automated,NA,149,0,NA
Bibliotheksverbund Bayern,EBSCO,Record Views,NA,1,0,NA
Bibliotheksverbund Bayern,EBSCO,Regular Searches,NA,0,0,NA
Bibliotheksverbund Bayern,EBSCO,Result Clicks,NA,1,0,NA
Bibliotheksverbund Bayern,EBSCO,Searches-federated and automated,NA,151,0,NA
BioOne Online Journals,EBSCO,Record Views,NA,0,0,0
BioOne Online Journals,EBSCO,Regular Searches,NA,0,0,0
BioOne Online Journals,EBSCO,Result Clicks,NA,0,0,2
BioOne Online Journals,EBSCO,Searches-federated and automated,NA,1902,6062,5200
Books at JSTOR,EBSCO,Record Views,NA,8,0,NA
Books at JSTOR,EBSCO,Regular Searches,NA,0,0,NA
Books at JSTOR,EBSCO,Result Clicks,NA,17,0,NA
Books at JSTOR,EBSCO,Searches-federated and automated,NA,299,0,NA
Books24x7,EBSCO,Record Views,NA,0,0,NA
Books24x7,EBSCO,Regular Searches,NA,0,0,NA
Books24x7,EBSCO,Result Clicks,NA,0,0,NA
Books24x7,EBSCO,Searches-federated and automated,NA,151,0,NA
Brandel Books,EBSCO,Record Views,NA,114,302,314
Brandel Books,EBSCO,Regular Searches,NA,0,0,0
Brandel Books,EBSCO,Result Clicks,NA,142,320,343
Brandel Books,EBSCO,Searches-federated and automated,NA,1446,6136,5269
Brandel Media,EBSCO,Record Views,NA,28,441,247
Brandel Media,EBSCO,Regular Searches,NA,0,0,0
Brandel Media,EBSCO,Result Clicks,NA,37,448,260
Brandel Media,EBSCO,Searches-federated and automated,NA,1532,6060,3965
Bridgeman Education,EBSCO,Record Views,NA,0,0,NA
Bridgeman Education,EBSCO,Regular Searches,NA,0,0,NA
Bridgeman Education,EBSCO,Result Clicks,NA,0,0,NA
Bridgeman Education,EBSCO,Searches-federated and automated,NA,151,0,NA
Britannica Online,EBSCO,Record Views,NA,0,0,NA
Britannica Online,EBSCO,Regular Searches,NA,0,0,NA
Britannica Online,EBSCO,Result Clicks,NA,0,0,NA
Britannica Online,EBSCO,Searches-federated and automated,NA,149,0,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Record Views,NA,0,0,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Regular Searches,NA,0,0,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Result Clicks,NA,0,0,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Searches-federated and automated,NA,151,0,NA
British Library EThOS,EBSCO,Record Views,NA,0,0,NA
British Library EThOS,EBSCO,Regular Searches,NA,0,0,NA
British Library EThOS,EBSCO,Result Clicks,NA,0,0,NA
British Library EThOS,EBSCO,Searches-federated and automated,NA,151,0,NA
British Standards Online,EBSCO,Record Views,NA,0,0,NA
British Standards Online,EBSCO,Regular Searches,NA,0,0,NA
British Standards Online,EBSCO,Result Clicks,NA,0,0,NA
British Standards Online,EBSCO,Searches-federated and automated,NA,151,0,NA
Business Insights: Essentials,EBSCO,Record Views,NA,0,0,NA
Business Insights: Essentials,EBSCO,Regular Searches,NA,0,0,NA
Business Insights: Essentials,EBSCO,Result Clicks,NA,0,0,NA
Business Insights: Essentials,EBSCO,Searches-federated and automated,NA,152,0,NA
Business Source Complete,EBSCO,Record Views,4536,6753,6881,5059
Business Source Complete,EBSCO,Regular Searches,6780,9610,5526,3849
Business Source Complete,EBSCO,Result Clicks,8993,12211,12681,9646
Business Source Complete,EBSCO,Searches-federated and automated,42,4295,50725,43672
Business Source Elite,EBSCO,Record Views,899,856,587,164
Business Source Elite,EBSCO,Regular Searches,2517,3215,2458,1343
Business Source Elite,EBSCO,Result Clicks,1524,1403,943,257
Business Source Elite,EBSCO,Searches-federated and automated,42,1792,3193,0
Cairn.info,EBSCO,Record Views,NA,0,0,NA
Cairn.info,EBSCO,Regular Searches,NA,0,0,NA
Cairn.info,EBSCO,Result Clicks,NA,0,0,NA
Cairn.info,EBSCO,Searches-federated and automated,NA,151,0,NA
Center for Research Libraries,EBSCO,Record Views,NA,0,0,NA
Center for Research Libraries,EBSCO,Regular Searches,NA,0,0,NA
Center for Research Libraries,EBSCO,Result Clicks,NA,0,0,NA
Center for Research Libraries,EBSCO,Searches-federated and automated,NA,151,0,NA
China Science & Technology Journal Database,EBSCO,Record Views,NA,0,0,NA
China Science & Technology Journal Database,EBSCO,Regular Searches,NA,0,0,NA
China Science & Technology Journal Database,EBSCO,Result Clicks,NA,0,0,NA
China Science & Technology Journal Database,EBSCO,Searches-federated and automated,NA,151,0,NA
China/Asia On Demand,EBSCO,Record Views,NA,0,0,NA
China/Asia On Demand,EBSCO,Regular Searches,NA,0,0,NA
China/Asia On Demand,EBSCO,Result Clicks,NA,0,0,NA
China/Asia On Demand,EBSCO,Searches-federated and automated,NA,149,0,NA
Christian Periodical Index,EBSCO,Record Views,7,18,14,38
Christian Periodical Index,EBSCO,Regular Searches,1171,3046,2250,1355
Christian Periodical Index,EBSCO,Result Clicks,10,39,33,74
Christian Periodical Index,EBSCO,Searches-federated and automated,3,1904,6069,5206
CINAHL,EBSCO,Record Views,27646,789,NA,NA
CINAHL,EBSCO,Regular Searches,54463,2020,NA,NA
CINAHL,EBSCO,Result Clicks,53991,1445,NA,NA
CINAHL,EBSCO,Searches-federated and automated,42,0,NA,NA
CINAHL Complete,EBSCO,Record Views,144,31919,40861,29502
CINAHL Complete,EBSCO,Regular Searches,300,49688,42399,32158
CINAHL Complete,EBSCO,Result Clicks,292,58947,73281,53889
CINAHL Complete,EBSCO,Searches-federated and automated,0,4248,50406,43470
Classical Music Reference Library,Alexander Street Press,Record Views,0,3,30,46
Classical Music Reference Library,Alexander Street Press,Regular Searches,0,49,166,73
Classical Music Reference Library,Alexander Street Press,Result Clicks,0,2,25,8
Classical Music Reference Library,Alexander Street Press,Searches-federated and automated,0,0,0,0
"Classical Scores Library, Volume 1",Alexander Street Press,Record Views,23,83,105,46
"Classical Scores Library, Volume 1",Alexander Street Press,Regular Searches,11,188,166,96
"Classical Scores Library, Volume 1",Alexander Street Press,Result Clicks,1,27,15,11
"Classical Scores Library, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0
Cochrane Central Register of Controlled Trials,EBSCO,Record Views,7,46,29,25
Cochrane Central Register of Controlled Trials,EBSCO,Regular Searches,828,3922,2995,1802
Cochrane Central Register of Controlled Trials,EBSCO,Result Clicks,7,68,50,37
Cochrane Central Register of Controlled Trials,EBSCO,Searches-federated and automated,39,1903,6080,5219
Cochrane Database of Systematic Reviews,EBSCO,Record Views,124,812,871,677
Cochrane Database of Systematic Reviews,EBSCO,Regular Searches,1348,9806,7639,4926
Cochrane Database of Systematic Reviews,EBSCO,Result Clicks,307,2321,2394,1797
Cochrane Database of Systematic Reviews,EBSCO,Searches-federated and automated,39,5964,55766,48181
Cochrane Methodology Register,EBSCO,Record Views,0,3,0,0
Cochrane Methodology Register,EBSCO,Regular Searches,784,3296,2522,1510
Cochrane Methodology Register,EBSCO,Result Clicks,0,3,0,0
Cochrane Methodology Register,EBSCO,Searches-federated and automated,39,1899,6063,5202
CogPrints,EBSCO,Record Views,NA,0,0,0
CogPrints,EBSCO,Regular Searches,NA,0,0,0
CogPrints,EBSCO,Result Clicks,NA,1,1,2
CogPrints,EBSCO,Searches-federated and automated,NA,1904,6118,5172
Communication & Mass Media Complete,EBSCO,Record Views,1782,1861,1693,1809
Communication & Mass Media Complete,EBSCO,Regular Searches,4591,6311,3905,3180
Communication & Mass Media Complete,EBSCO,Result Clicks,2994,3028,2729,2912
Communication & Mass Media Complete,EBSCO,Searches-federated and automated,42,4262,50516,43540
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Record Views,NA,NA,0,0
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Regular Searches,NA,NA,0,20
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Result Clicks,NA,NA,0,0
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Searches-federated and automated,NA,NA,0,0
Consumer Health Complete,EBSCO,Record Views,46,11,3,12
Consumer Health Complete,EBSCO,Regular Searches,57,15,6,10
Consumer Health Complete,EBSCO,Result Clicks,224,36,11,32
Consumer Health Complete,EBSCO,Searches-federated and automated,0,0,0,0
Consumer Health Complete - EBSCOhost,EBSCO,Record Views,184,227,124,70
Consumer Health Complete - EBSCOhost,EBSCO,Regular Searches,2746,3961,2670,1575
Consumer Health Complete - EBSCOhost,EBSCO,Result Clicks,466,465,258,163
Consumer Health Complete - EBSCOhost,EBSCO,Searches-federated and automated,42,1918,6157,5242
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Record Views,6,250,163,54
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Regular Searches,5,402,102,74
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Result Clicks,0,183,45,25
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0
Credo Reference Collections,EBSCO,Record Views,NA,0,0,NA
Credo Reference Collections,EBSCO,Regular Searches,NA,0,0,NA
Credo Reference Collections,EBSCO,Result Clicks,NA,1,0,NA
Credo Reference Collections,EBSCO,Searches-federated and automated,NA,149,0,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Record Views,3,38,26,2
Criminal Justice and Public Safety in Video,Alexander Street Press,Regular Searches,5,140,72,66
Criminal Justice and Public Safety in Video,Alexander Street Press,Result Clicks,0,17,9,1
Criminal Justice and Public Safety in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0
CRUSH Reports,EBSCO,Record Views,NA,0,0,NA
CRUSH Reports,EBSCO,Regular Searches,NA,0,0,NA
CRUSH Reports,EBSCO,Result Clicks,NA,0,0,NA
CRUSH Reports,EBSCO,Searches-federated and automated,NA,149,0,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Record Views,NA,0,0,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Regular Searches,NA,0,0,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Result Clicks,NA,0,0,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Searches-federated and automated,NA,149,0,NA
Database of Abstracts of Reviews of Effects,EBSCO,Record Views,3,9,10,5
Database of Abstracts of Reviews of Effects,EBSCO,Regular Searches,780,3109,2369,1236
Database of Abstracts of Reviews of Effects,EBSCO,Result Clicks,7,22,32,14
Database of Abstracts of Reviews of Effects,EBSCO,Searches-federated and automated,39,1900,6062,5203
DBPIA,EBSCO,Record Views,NA,0,0,NA
DBPIA,EBSCO,Regular Searches,NA,0,0,NA
DBPIA,EBSCO,Result Clicks,NA,0,0,NA
DBPIA,EBSCO,Searches-federated and automated,NA,151,0,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Record Views,NA,0,0,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Regular Searches,NA,0,0,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Result Clicks,NA,0,0,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Searches-federated and automated,NA,151,0,NA
DigiZeitschriften,EBSCO,Record Views,NA,0,0,NA
DigiZeitschriften,EBSCO,Regular Searches,NA,0,0,NA
DigiZeitschriften,EBSCO,Result Clicks,NA,0,0,NA
DigiZeitschriften,EBSCO,Searches-federated and automated,NA,149,0,NA
Directory of Open Access Journals,EBSCO,Record Views,NA,0,33,190
Directory of Open Access Journals,EBSCO,Regular Searches,NA,0,0,0
Directory of Open Access Journals,EBSCO,Result Clicks,NA,1,61,274
Directory of Open Access Journals,EBSCO,Searches-federated and automated,NA,1905,49266,42941
Discovery eBooks,EBSCO,Record Views,NA,8,0,NA
Discovery eBooks,EBSCO,Regular Searches,NA,0,0,NA
Discovery eBooks,EBSCO,Result Clicks,NA,15,0,NA
Discovery eBooks,EBSCO,Searches-federated and automated,NA,250,0,NA
Dynamed Plus,EBSCO,Record Views,NA,NA,0,0
Dynamed Plus,EBSCO,Regular Searches,NA,NA,0,14
Dynamed Plus,EBSCO,Result Clicks,NA,NA,0,34
Dynamed Plus,EBSCO,Searches-federated and automated,NA,NA,0,0
eArticle,EBSCO,Record Views,NA,0,0,NA
eArticle,EBSCO,Regular Searches,NA,0,0,NA
eArticle,EBSCO,Result Clicks,NA,0,0,NA
eArticle,EBSCO,Searches-federated and automated,NA,151,0,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Record Views,5,0,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Regular Searches,917,0,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Result Clicks,61,0,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Record Views,251,0,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Regular Searches,917,0,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Result Clicks,1028,0,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Record Views,334,0,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Regular Searches,1011,0,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Result Clicks,1287,0,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Record Views,3,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Regular Searches,917,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Result Clicks,24,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Record Views,58,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Regular Searches,919,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Result Clicks,429,0,NA,NA
